"Fecha","Hora","Canal","Formato","Carpeta_Asset","Archivo_Principal","Titulo_Interno","Objetivo_Estrategico","Llamada_A_La_Accion"
"2026-09-14","07:30","Instagram Feed & FB","Carrusel (5 Slides)","dia1_lunes","carrusel_slide1_portada.png ... carrusel_slide5_solucion.png","Lunes 14 - 5 Peligros del Salitre","Concientizacion y dolor de mercado (Cirugia Mecanica)","Comenta o envia DM para revision tecnica"
"2026-09-14","11:30","Instagram Stories","Story Interactiva","dia1_lunes","story_encuesta_taller.png","Lunes 14 - Encuesta Torquimetro","Engagement y calificacion de audiencia","Vota en el sticker de encuesta"
"2026-09-15","13:15","Instagram Feed & FB","Carrusel (4 Slides)","dia2_martes","carrusel_slide1_portada.png ... carrusel_slide4_resultado.png","Martes 15 - Calculadora Biomecanica","Expectativa e interaccion con la dinamica de tallas","Comenta TALLA para recomendacion personalizada"
"2026-09-15","16:30","Instagram Stories","Story Interactiva","dia2_martes","story_calculadora.png","Martes 15 - Consulta de Talla","Engagement y cualificacion de ciclistas","Sticker: Cuanto mides? Te decimos tu talla"
"2026-09-16","19:45","Instagram Feed & FB","Feed Post","dia3_miercoles","feed_post_basso.png","Miercoles 16 - Basso Bikes Italia en el Caribe","Posicionamiento de Marca Exclusiva de Alto Rendimiento","Escribe BASSO para catalogo digital"
"2026-09-16","12:30","Instagram Stories","Story Encuesta","dia3_miercoles","story_basso.png","Miercoles 16 - Ruta vs Gravel","Pre-cualificacion de compradores ciclistas","Sticker: Ruta o Gravel"
"2026-09-17","13:30","Instagram Feed & FB","Carrusel (4 Slides)","dia4_jueves","carrusel_slide1_portada.png ... carrusel_slide4_reserva.png","Jueves 17 - Flota de Rentas Premium Caribe","Captura de ciclistas viajeros y triatletas","Etiqueta a un amigo o reserva por WhatsApp"
"2026-09-17","18:30","Instagram Stories","Story Enlace Directo","dia4_jueves","story_rentas.png","Jueves 17 - Cotiza tu Renta Concierge","Generacion de leads de renta directa en hotel","Sticker: Rentar por WhatsApp"
"2026-09-18","18:00","Instagram Feed & FB","Feed Post","dia5_viernes","feed_post_comunidad.png","Viernes 18 - Convocatoria Gran Rodada 2º Aniversario Sabado 19","Anuncio de cambio de rodada al sabado para maxima asistencia","Comenta si ruedas manana en el peloton"
"2026-09-18","20:00","Instagram Stories","Story Countdown","dia5_viernes","story_cuenta_regresiva.png","Viernes 18 - Cuenta Regresiva Rodada 6:30AM & Lanzamiento 9AM","Activacion de recordatorio y detalles de salida","Sticker Countdown: Sabado 6:30 AM Rodada"
"2026-09-19","09:00","Instagram Reels & FB","Reel Teaser Oficial","dia6_sabado_lanzamiento","video_teaser_19_septiembre.mp4 (Cover: logo_oficial_aniversario_9_16.png)","Sabado 19 - EL GRAN TEASER 19 DE SEPTIEMBRE","Apertura oficial de la plataforma web en vivo","Link en bio: the-garage-dw4.pages.dev"
"2026-09-19","12:30","Instagram Feed & FB","Feed Post Comunicado","dia6_sabado_lanzamiento","feed_post_lanzamiento.png","Sabado 19 - Comunicado Oficial 2º Aniversario","Fidelizacion y apertura de plataforma digital","Explora el catalogo en tiempo real"
"2026-09-19","10:00","Instagram Stories","Story Enlace Web","dia6_sabado_lanzamiento","story_lanzamiento.png","Sabado 19 - Plataforma en Vivo","Trafico masivo a la tienda digital","Sticker: Visitar Nueva Web Oficial"
"2026-09-20","11:30","Instagram Feed & FB","Carrusel (4 Slides)","dia7_domingo","carrusel_slide1_portada.png ... carrusel_slide4_specialized.png","Domingo 20 - Las 3 Bicis Mas Buscadas del Lanzamiento","Conversion de catalogo e inventario real","Cotiza por WhatsApp antes de que se aparten"
"2026-09-20","17:00","Instagram Stories","Story Citas Taller","dia7_domingo","story_social_proof.png","Domingo 20 - Agenda Taller Abierta","Llenar la capacidad operativa del taller semanal","Sticker de Enlace a WhatsApp Concierge"
